Date,error_bull,error_bear,min_error,argmin_regime,gap
2010-07-13,0.013260848,0.0045094513,0.0045094513,bear,0.008751396
2010-07-14,0.013117347,0.004302142,0.004302142,bear,0.008815205
2010-07-15,0.012048087,0.0037015374,0.0037015374,bear,0.00834655
2010-07-16,0.011212284,0.003301311,0.003301311,bear,0.007910972
2010-07-19,0.010680126,0.0029817335,0.0029817335,bear,0.0076983925
2010-07-20,0.010652032,0.002892573,0.002892573,bear,0.007759459
2010-07-21,0.010682369,0.0029735982,0.0029735982,bear,0.00770877
2010-07-22,0.010526644,0.002921071,0.002921071,bear,0.007605573
2010-07-23,0.010437969,0.0031877721,0.0031877721,bear,0.007250197
2010-07-26,0.010291779,0.003193584,0.003193584,bear,0.007098195
2010-07-27,0.010059813,0.0035845786,0.0035845786,bear,0.0064752344
2010-07-28,0.009695262,0.0036538525,0.0036538525,bear,0.0060414094
2010-07-29,0.008860803,0.0036388647,0.0036388647,bear,0.0052219387
2010-07-30,0.008320201,0.0038090385,0.0038090385,bear,0.0045111626
2010-08-02,0.008041586,0.004250316,0.004250316,bear,0.0037912698
2010-08-03,0.007637453,0.004248789,0.004248789,bear,0.0033886638
2010-08-04,0.0073236097,0.00446116,0.00446116,bear,0.0028624497
2010-08-05,0.0072944486,0.0045236787,0.0045236787,bear,0.0027707699
2010-08-06,0.0070639593,0.0047022635,0.0047022635,bear,0.0023616957
2010-08-09,0.0066531496,0.0047732512,0.0047732512,bear,0.0018798984
2010-08-10,0.006426664,0.004733903,0.004733903,bear,0.0016927612
2010-08-11,0.006375231,0.004775608,0.004775608,bear,0.0015996229
2010-08-12,0.0060215686,0.004699618,0.004699618,bear,0.0013219505
2010-08-13,0.005887423,0.004856638,0.004856638,bear,0.001030785
2010-08-16,0.0056716404,0.0048220092,0.0048220092,bear,0.00084963115
2010-08-17,0.005455816,0.0048728087,0.0048728087,bear,0.00058300747
2010-08-18,0.0054151346,0.0046386686,0.0046386686,bear,0.000776466
2010-08-19,0.0054641347,0.004516456,0.004516456,bear,0.0009476789
2010-08-20,0.0056232954,0.0044969767,0.0044969767,bear,0.0011263187
2010-08-23,0.00576704,0.004463233,0.004463233,bear,0.0013038069
2010-08-24,0.0060613337,0.004522232,0.004522232,bear,0.0015391018
2010-08-25,0.0062042037,0.0046701794,0.0046701794,bear,0.0015340243
2010-08-26,0.0066034216,0.004660546,0.004660546,bear,0.0019428758
2010-08-27,0.0067758826,0.0047522713,0.0047522713,bear,0.0020236112
2010-08-30,0.007020316,0.0049395966,0.0049395966,bear,0.0020807195
2010-08-31,0.0071272426,0.005127302,0.005127302,bear,0.0019999407
2010-09-01,0.0071229595,0.0051436443,0.0051436443,bear,0.0019793152
2010-09-02,0.00699644,0.0051669534,0.0051669534,bear,0.0018294863
