Date,error_bull,error_bear,min_error,argmin_regime,gap
2010-06-16,0.013630222,0.004849762,0.004849762,bear,0.008780459
2010-06-17,0.013612443,0.0046931235,0.0046931235,bear,0.008919319
2010-06-18,0.012573113,0.003578433,0.003578433,bear,0.00899468
2010-06-21,0.011581421,0.0031711347,0.0031711347,bear,0.008410286
2010-06-22,0.011060641,0.0028275768,0.0028275768,bear,0.008233065
2010-06-23,0.011104342,0.002550272,0.002550272,bear,0.008554069
2010-06-24,0.011388289,0.0026713107,0.0026713107,bear,0.008716978
2010-06-25,0.011406064,0.002367303,0.002367303,bear,0.009038761
2010-06-28,0.011036261,0.0025498932,0.0025498932,bear,0.008486368
2010-06-29,0.011356871,0.0024069876,0.0024069876,bear,0.008949883
2010-06-30,0.011312391,0.0029948575,0.0029948575,bear,0.008317533
2010-07-01,0.011260538,0.003071126,0.003071126,bear,0.008189412
2010-07-02,0.010123137,0.0032147206,0.0032147206,bear,0.0069084167
2010-07-06,0.010068545,0.003539098,0.003539098,bear,0.006529447
2010-07-07,0.009629849,0.003895914,0.003895914,bear,0.005733935
2010-07-08,0.009092834,0.0036913236,0.0036913236,bear,0.0054015103
2010-07-09,0.008679513,0.003798414,0.003798414,bear,0.004881099
2010-07-12,0.008184156,0.003543776,0.003543776,bear,0.0046403804
2010-07-13,0.0077519906,0.0033461528,0.0033461528,bear,0.0044058375
2010-07-14,0.0071201576,0.0033221298,0.0033221298,bear,0.0037980278
2010-07-15,0.006709379,0.0031213237,0.0031213237,bear,0.0035880555
2010-07-16,0.0067127193,0.0031391766,0.0031391766,bear,0.0035735427
2010-07-19,0.0060420935,0.0026254146,0.0026254146,bear,0.0034166789
2010-07-20,0.0056199883,0.0029101435,0.0029101435,bear,0.0027098448
2010-07-21,0.005542926,0.0027370814,0.0027370814,bear,0.0028058446
2010-07-22,0.005170232,0.0030001826,0.0030001826,bear,0.0021700496
2010-07-23,0.005446944,0.0031006641,0.0031006641,bear,0.0023462798
2010-07-26,0.0058675366,0.0032966645,0.0032966645,bear,0.0025708722
2010-07-27,0.0061661582,0.003344116,0.003344116,bear,0.0028220422
2010-07-28,0.006462421,0.0032367124,0.0032367124,bear,0.0032257084
2010-07-29,0.0067175976,0.0031077676,0.0031077676,bear,0.00360983
2010-07-30,0.0067501036,0.0030562538,0.0030562538,bear,0.0036938498
2010-08-02,0.0068499055,0.0029933748,0.0029933748,bear,0.0038565306
2010-08-03,0.0068706917,0.0026353842,0.0026353842,bear,0.0042353077
2010-08-04,0.006772914,0.0025193626,0.0025193626,bear,0.0042535514
2010-08-05,0.0067928405,0.0024879174,0.0024879174,bear,0.004304923
2010-08-06,0.0066384063,0.0022533797,0.0022533797,bear,0.0043850266
2010-08-09,0.006405443,0.0020159218,0.0020159218,bear,0.004389521
2010-08-10,0.006439681,0.0017308906,0.0017308906,bear,0.0047087907
2010-08-11,0.0060062287,0.0016556096,0.0016556096,bear,0.0043506194
2010-08-12,0.005557336,0.0017239354,0.0017239354,bear,0.0038334006
2010-08-13,0.0051219035,0.001908318,0.001908318,bear,0.0032135854
2010-08-16,0.0047912616,0.00197972,0.00197972,bear,0.0028115415
2010-08-17,0.0039091893,0.0020059678,0.0020059678,bear,0.0019032215
2010-08-18,0.003425745,0.0018911429,0.0018911429,bear,0.0015346021
2010-08-19,0.0032180022,0.0019809674,0.0019809674,bear,0.0012370348
2010-08-20,0.0031740142,0.0020156666,0.0020156666,bear,0.0011583476
2010-08-23,0.0031473786,0.0024388796,0.0024388796,bear,0.000708499
